Ref.,Paradosis,Conjecture,Author,Year,Attested Place,Rem.
Arist. Po. 1457a3,-ὸν,αὑτὴν,Thomas Tyrwhitt,1794,Will. of Moerb.,
Arist. Po. 1457a13,θεοδώρῳ τὸ δῶρον,θεόδωρος τὸ δωρος,Franz Ritter,1839,Σ,
Arist. Po. 1457a33,-ος,ὀνόματι,Leonhard Spengel,1868,Σ,p. 332
Arist. Po. 1457b2–3,ὑφ-,ἀφῃρημένον,Leonhard Spengel,1868,Σ,p. 332
Arist. Po. 1458a29,πυρίχαλκον,πυρὶ χαλκὸν,Francesco Robortello,1548,Σ,
Arist. Po. 1460a5,διαιρεῖσθαι,αἱρεῖσθαι,Hermann Bonitz,1862,Will. et Σ,
Arist. Po. 1460b23,ἀ.,εἰ ἀδύνατα,Johannes Vahlen,1867,Paris. gr. 2038,
Arist. Po. 1460b36,ἔτ. ὥ. ξενοφάνη,εἰ ἔτυχεν ὥσπερ Ξενοφάνει,Johannes Vahlen,1867,Ricc. 46 (B),
Arist. Po. 1461a16,τὸ δὲ,τὰ δὲ,Leonhard Spengel,1868,Σ,p. 341
Arist. Po. 1461a31,γε κατὰ,γε καὶ κατὰ,Daniel Heinsius,1611,Σ,
Arist. Po. 1461a34–5,ὡδὶ ἢ ὡς,ὡδὶ ἢ ὡδί ὡς,Johannes Vahlen,1874,Ricc. 46 (B),
Arist. Po. 1461b6–7,-λ-,κεφαλλῆνες,Thomas Tyrwhitt,1794,Paris. gr. 2038,
Arist. Po. 1461b8,διαμάρτημα,δι’ ἁμάρτημα,Vincenzo Maggi,1550,Will. et Σ,
Arist. Po. 1461b15–16,ὑπεναντία ὡς,ὑπεναντίως,Thomas Twining,1789,Σ,
Arist. Po. 1461b21, ̓Ο. τοῦ Μ., ̓Ορέστῃ τῇ τοῦ Μενελάου,Johannes Vahlen,1874,Σ,
Arist. Po. 1462a3,om.,οἳ,Petrus Victorius,1560,Σ,
Arist. Top. 121b,ἐπ' ἄ./εἰς ἄ,ὑπ' ἄλληλα,Theodor Waitz,1846,M2,p. 473; 'alterum sub altero' (Pacius)
Arist. Top. 133a,ἢ οὗ τοὔνομα,ἢ τ.,Giorgio Colli,1955,Vat. gr. 244 (W),
Arist. Top. 134b,ἔσται,ἔστι,W. D. Ross,1955,Pier. Morg. 758 (M),
Arist. Top. 148a,ἔτι εἰ τῶν ὁμοίων,ἔ. ε. ἐπὶ τῶν ὁ.,Max Wallies,1923,Marc. App.IV.5 (f),
Arist. fr. 57.12 Rose,οὔτε,ουδε,Meineke,1839–57,P.Oxy. IV 666,
Arist. fr. 842.7 Page,τ᾽ ἀθάνατον/εἰς ἀ.,ἰσαθάνατον,Wilamowitz,n.d.,BKT I 25,Did. in D. col. 6.18 seqq.
Aristarch.Trag. fr. 3,-νημα,σωφρόνισμα,Meineke,1839–57,Macar.,
Arr. An. 2.14.4,ἡ δ. ἐ. Ἀ.,ἡ δὲ ἐπιστολὴ ἡ Ἀλεξάνδρου,K. W. Krüger,1851,Vindob. hist. 4 (A),
Arr. An. 2.17.1,-λιπ-,ὑπολειπομένους,Karl Sintenis,1867,Vindob. hist. 4 (A),
Arr. An. 3.29.4,πόν-,τόποις,J. G. Schneider,1835,Paris. gr. 1753 (B),apud Krüger
Arr. An. 4.26.5,-ον,ἀνέστελλεν,H. R. Grundmann,1884,Vindob. hist. 4 (A),
Arr. An. 4.29.1,-ασθαι,ἡγήσεσθαι,J. G. Schneider,1835,Vindob. hist. 4 (A),apud Krüger
Arr. An. 6.3.2,ἐπεὶ,ἐπὶ,Karl Sintenis,1867,Vindob. hist. 4 (A),
Arr. Post Alex. 24.16,ἔ[]εν,ἔταξεν,Ulrich Köhler,1890,Vat. gr. 495 (V),
Ath. 3.116d,π. μνήμης ἠξιωμένης,παροιμίαν μ. -ην,Casaubon,1597,D B Q M,
Ath. 3.117c,-ῆρος,Κράτητος,Casaubon,1597,B Qmg P,
Ath. 3.118b,ὡ. α.,ὡς ὁ αὐτός,Casaubon,1597,D B Qsl M,
Ath. 3.125a,-λειπ-,Ἀπολιπούσῃ,Casaubon,1597,D B,
Ath. 4.128d,πᾶσιν,παισίν,Casaubon,1597,DBQMP,
Ath. 4.143a,λύτγι-,Λύττιοι,Cobet,,Laur. Plut. 60.01 (B),
Ath. 4.159d,τῆς ε. ... -ᾳ,τῇ εἰς ... Πραγματείαν,Casaubon,1597,B Q M,
Ath. 4.184a,Μελοποιϊ-,Μελοποιῶν,Jacques Daléchamps,1583,D B Qpc M,
Ath. 5.201f,-αί,πολλάς,Georg Kaibel,1887,D B,
Ath. 5.205e,παρὰ,π. δὲ,Casaubon,1597,Laur. Plut. 60.01 (B),
Ath. 5.208d,τριῶν τε,τ. δὲ,Johannes Schweighäuser,1801–5,Laur. Plut. 60.02 (E),a.c.
Ath. 8.359b,πάντως κρες ἡμῖν ἐστιν,π. κρέα ἡ. ἐ.,Casaubon,1597,Laur. Plut. 60.01 (B),
Ath. 9.369d,αλμ-,Δαλματίαν,Jacques Daléchamps,1583,Dmg B,
Ath. 9.371a,τοῦ ταινας,τευτλίδας,Casaubon,1597,Dsl B,
Ath. 9.375e,νοθ-,νοτοῦντι,J. C. de Pauw,1745,Marc. 447 (A),
Ath. 9.406d,ἄν τις εἴποιμι,ἄ. τι ε.,Casaubon,1597,Dpc B,
Ath. 9.408a,τὸ δειναὶ προσλελαληκέναι,τὸ δεῖνα π.,Casaubon,1597,Laur. Plut. 60.01 (B),
Ath. 11.463d,γοῦν,δ ̓ οὖν,P. P. Dobree,1833,C E,
Ath. 11.485b,τὴν δὴ,τ. δὲ,Johannes Schweighäuser,1801–5,Laur. Plut. 60.01 (B),
Ath. 11.490e,οὐρανός τε γῆ,οὐρανοστεγῆ,Benjamin Heath,1798,Marc. 447 (A),apud Schweighäuser
Ath. 11.498a,κάλλ-,σκαλλίον,Casaubon,1597,Laur. Plut. 60.01 (B),σκάλλιον B
Ath. 11.499c,Δ. ἐ.,Δίφιλος δὲ ἐν,Georg Kaibel,1890,Laur. Plut. 60.01 (B),
Ath. 11.506a,-ων,ἐπιγραφομένῳ,Casaubon,1597,Laur. Plut. 60.01 (B),
Ath. 11.508f,ἐπ-,ἀπεσφάγη,Nauck,,C E,
Ath. 12.526d,εἶ; τίς/ἢ τίς,ἤ τις,Meineke,1858,Laur. Plut. 60.01 (B),
Ath. 12.532c,-λιπ-,κατέλειπε(ν),Cobet,1873,C E,
Ath. 13.568f,Φιλιππίδου,Φιλίππου,Meineke,1859,Laur. Plut. 60.01 (B),
Ath. 13.574a,ἀρξάμενος θ ̓ οὕτως,ἀ. δ ̓ ο.,Georg Kaibel,1890,Laur. Plut. 60.01 (B),
Ath. 13.594e,εὐφ-,συμφωνίαις,Casaubon,1597,Laur. Plut. 60.01 (B),
Ath. 14.623a,τέλος μέρος,τέλος,Meineke,1859,C E,
Ath. 14.633b,καιγ-,καταγηρασάντων,Casaubon,1597,Laur. Plut. 60.01 (B),
Ath. 14.634a,κ. τε,καλεῖσθαι δὲ,Georg Kaibel,1890,C E B,
Ath. 14.657b,τὰς β.,τοὺς βοῦς,Casaubon,1597,Laur. Plut. 60.01 (B),
Ath. 15.694d,ἔτικτε τέκνα Λατώ,ἔ. παῖδα Λ.,Hermann,1816,CE,p. 694
Ath. Epit. 6.253e,ὥσπερ,ὥσπερ εἰ,Jonathan Toup,1790,Laur. Plut. 60.02 (E),
Ath. Epit. 7.280e,ἀλλήλους,-οις,Grotius,1626,Laur. Plut. 60.02 (E),
Ath. Epit. 14.655e,τοῦ μέλανος ἔχοντος,τ. μ. -ες,Wilamowitz,,Laur. Plut. 60.02 (E),
BGU 1074,Οὐήρῳ,Σευήρῳ,Viereck,n.d.,P.Oxy. XXVII 2476,
Bacchyl. 17.53,μ[ε κουρ]α,με νυμ[φα,H. Jurenka,1898,P.Oxy. VIII 1091,
Bacchyl. 17.62,βαθείας, ἐκ βαθείας,Blass,1898,P.Oxy. VIII 1091,
Bacchyl. fr. 20B.11,αὐτὴ/αὐτὰς,αὐτίκα,Georg Kaibel,s.xix ex.,P.Oxy. XI 1361,αυτ̣ικ̣[.]
Call. Ap. 2,οἷο δ',οἷον,Valckenaer,1799,P.Oxy. XX 2258,
Call. Ap. 7,μακράν,-ρην,Meineke,1861,P.Oxy. ined. A fr. 2 recto,
Call. Ap. 8 schol. Ψ,-ρευομ-,καθιερωμένων,Meineke,1861,Ambros. 734 (e),
Call. Ap. 10,ἴδη,ἴδεν,C. J. Blomfield,1815,P.Oxy. XX 2258,]δεν
Call. Cer. 86,om. vel ἀμέλγει,ἀμιθρεῖ,David Ruhnken,1761,P.Oxy. XIX 2226,
Call. Cer. 86,om. vel ἀμέλγει,ἀμιθρεῖ,Valckenaer,1799,P.Oxy. XIX 2226,
Call. Cer. 93,ἶνες,ρινος,Valckenaer,1799,P.Oxy. XIX 2226,
Call. Cer. 106,ἤδη,οὐδὲν,Bergk,s.xix med.,P.Oxy. XIX 2226,
Call. Del. 25,ὑπαὶ ῥιπῆς,ὑπ]ὸ ῥιπαῖς,C. J. Blomfield,1815,P.Oxy. XIX 2225,
Call. Del. 158,ὑπ᾽ ὀμ-,ὑφ᾽ ὁμοκλῆς,Janus Lascaris,1496,P.Oxy. XIX 2225,υφομ[
Call. Del. 159,πανσυ-,πασσυδίῃ,Janus Lascaris,1496,P.Oxy. XIX 2225,
Call. Del. 179,καρπόν,καπνόν,Reiske,1757–66,P.Oxy. XIX 2225,
Call. Dian. 16,-μάδας,ἐνδρομίδας,Janus Lascaris,1496,Et.Gen.,
Call. Dian. 29,ὅτι,ὅτε,Janus Lascaris,1496,P.Mil.Vogl. II 42,
Call. Dian. 61,μοχθίσσειαν,μυχ-,Meineke,1861,P.Ant. I 20,lemma
Call. Dian. 70,-ύσεται,μορμύσσεται,Janus Lascaris,1496,P.Ant. I 20,
Call. Epigr. 27.1,-όν,ἀοιδῶν,Scaliger,n.d.,P.Oxy. LXVIII 4648,αοιδω[
Call. Jov. 80,σφι,σφε,Bentley,1697,P.Oxy. ined. A fr. 1 recto,
Call. Lav.Pall. 52,μ᾽ οὐκ,μὴ οὐκ,Arnaldus,s.xviii in.,Paris. Gr. 2763 (E),
Call. Lav.Pall. 117,ἐ.,δ᾽ ἐρέει,Bergk,s.xix med.,Paris. Gr. 2763 (E),
Call. fr. 1.11 Schol. Lond.,λεπτ`,κατὰ λεπτ`,A. Rostagni,1929,teste Milne,Cl. R. 43 (1929) 214
Call. fr. 7.14,πολὺ μένουσιν,πουλὺ μένωσιν,Valckenaer,1799,PSI XI 1219,Elegiarum Fragmenta p. 276
Call. fr. 43.14,παραχρῆμ',παρὰ χρέος,A. F. Naeke,1845,P.Oxy. XVII 2080,
Call. fr. 43.16,ἀκουὰς,ἀκουαῖς,Bentley,1697,P.Oxy. XVII 2080,
Call. fr. 43.64,γαιοδόται,γεωδαῖται,Bentley,1697,P.Oxy. XVII 2080,
Call. fr. 43.71,γυνή,γύπῃ,David Ruhnken,1761,P.Oxy. XVII 2080,
Call. fr. 43.71,γυνή,γύπῃ,Jonathan Toup,s.xviii med.,P.Oxy. XVII 2080,Exeter
Call. fr. 64.13,ἀκουὰς,Κραννώνιος,Bentley,1697,P.Oxy. XIX 2211,
Call. fr. 115.12,γυνή,ἔτραφεν,David Ruhnken,1761,P.Oxy. XVII 2080,
Call. fr. 178.16,λεύχης,λέσχης,Henri Estienne,1566,P.Oxy. XI 1362,
Call. fr. 178.33,ναυτιλίῃσιν ἥν,]λίης εἰ νῆιν,Nauck,s.xix ex.,P.Oxy. XI 1362,?
Call. fr. 191.10,χάλκεον,Παγχαῖον,Bentley,1697,P.Oxy. XI 1363,
Call. fr. 191.42,-ους,παρθένοις,Hemsterhuis,1761,P.Oxy. VII 1011,apud Ernesti
Call. fr. 197.1,ὅπερ Φεραῖοϲ αἰνείων-,-αῖοϲαινίωνθὲοϲ,Wilamowitz,1905,P.Oxy. XVIII 2171,Herm. 40 p. 158
Call. fr. 265,ἡληλ- κτλ.,εἰληλούθειν,Otto Schneider,1870,Sud. codd. AGITVM,
Call. fr. 272,Δεκελ-,δ᾽ ἐκλειόθεν,Bentley,1697,Et.Gen.,
Call. fr. 301,οὔτε,ὅν τε,Bentley,1697,schol. (a) et (b) cod. Ox. et Et.Gud.,
Call. fr. 326,θανεῖν,θανέειν,Bentley,1697,'Zonar.' codd. Tittm.,
Call. fr. 384.26,-ϲομ-,θηϲαμενω,Hunt,1922,P.Oxy. ined.,]ηϲαμενω[
Call. fr. 388.9,Φωκείων,Φωκαέων,Valckenaer,1799,P.Oxy. XV 1793,
Call. fr. 721,ἔαϲιν,ἐωϲιν,Dindorf,1864,Theognost. cod. Barocc.,Thes.L.Gr. I/2 p. 9 C
Callistr. 423.31,-αν,στήσασα,Friedrich Jacobs,1829–32,A,
Carm. conv. 906 Page,εἰ δὴ χρὴ,εἰ χρὴ,Johannes Schweighäuser,1798,Arist. Ath. c. 20 fin,
Carm. conv. 906 Page,εἰ δὴ χρὴ,εἰ χρὴ,Porson,n.d.,Arist. Ath. 20 fin,
Carm. conv. 907 Page,κύρησαν,ἔσαν,Erasmus,n.d.,Arist. Ath. 19.3,
Charito 2.3.5,ποθεν,ποδῶν,J. Ph. d’Orville,1750,P.Oxy. VII 1019,a man of means
Charito 2.4.5,ἐπυρφόρει,επυρπ̣ο[λει,Rudolf Hercher,1854,P.Oxy. XLI 2948,
Charito 2.4.6,μή τις,μή τι,Cobet,1842,P.Oxy. XLI 2948,
Charito 2.4.7,ἀπόλωλαϲ ὦ,ἀπόλωλά cοι,Zimmerman,1925,P.Oxy. XLI 2948,Philologus LXXX (1925); απολ]ωλ̣α̣ ϲ̣οι
Charito 2.4.7,οὐδ' ... οὐδ',ουτε ... ο[υ]τ̣[ε,Rudolf Hercher,1854,P.Oxy. XLI 2948,
Charito 2.4.8,δὲ τίϲ,ϲέ τιϲ,Cobet,1842,P.Oxy. XLI 2948,
Charito 2.4.8,τίνας,τίνα,Rudolf Hercher,1854,P.Oxy. XLI 2948,
Charito 2.4.9,αν επειθεν,ανεπειθ[εν,Rudolf Hercher,1854,P.Oxy. XLI 2948,
Charito 2.11.5,μᾶλλον οὐ,μαλλον η,C. D. Beck,1783,P.Michael. 1,
Charito 4.2.8,τοσοῦτον,τουτον,F. L. Abresch,1753–5,P.Fay. 1,
Charito 4.2.9,αἵματος,τ̣ολμ[ηματος,Cobet,1842,P.Fay. 1,
Charito 4.2.13,ἐμνημόνευσεν,εμνη]μονε[υ]σας,Reiske,1750,P.Fay. 1,
Charito 8.5.12,ἔχειν,del.,Rudolf Hercher,1854,codex Thebanus,spatium non sufficit in Theb.
Charito 8.6.10,λειποψυχῶν,λιπ-,Cobet,1842,codex Thebanus,
Charito 8.6.11,ἐπεκλύοντο,-κυλιοντο,J. Ph. d’Orville,1750,codex Thebanus,
Charito 8.6.12,-ριον,αργυρον,Rudolf Hercher,1854,codex Thebanus,
Charito 8.7.2,ὅτε,ποτε,Reiske,1750,codex Thebanus,
Choerob. in Theod. p. 231.6-7,Παλάμ-,Πάλμυδος,Dindorf,1864,Marc. 489 (V),"Gr. Gr. iv/1 Hilg.; ThGL 6,108 D"
Choerob. in Theod. p. 268.35,λινό-,αἰνοτάλαντα,Bekker,1821,Marc. 489 (V),Gr. Gr. iv/1 Hilg.
Choerob. in Theod. p. 352.11,-τήτειρα,ὀπτῆρα,A. F. Naeke,1845,Coisl. 176 (Bekker),Gr. Gr. iv/1 Hilg.
Clem.Al. Strom. 2.9.45,θαυμάσας,θαμβηβεὶς,Theodor Zahn,1892,P.Oxy. IV 654,Gesch. d. NT. Kan. ii. p. 657
Cratin. fr. 107,ποσὶν,ποσσὶν,Meineke,1839–57,Poll. 10.50 S,
Cratin. fr. 171,ΞΥΝΤΙΧΕΙΑΙ κτλ.,ξυντυχίαισι,Martin Runkel,1827,PSI XI 1212,
Cratin. fr. 415,ἀποσεισάμενος,ἀποσπ-,Bergk,1838,Synag. 127.1,Commentationum de reliquiis p. 258
Cypr. F 1,θέτιδος,Θέμιδος,Heyne,1803,P.Oxy. LVI 3829,
D.C. 37.13.2,-τητο,ἐκεκράτυντο,Reiske,1752,Laur. Plut. 70.8 (L),apud Reimarum
D.C. 37.55.1,-ουμένου,συναιρομένου,F. W. Sturz,1825,Laur. Plut. 70.8 (L),
D.C. 38.50.3,-σκοπ-,ἐπικοπῆς,Wilhelm Xylander,1558,Laur. Plut. 70.8 (L),
D.C. 39.15.1,-ὼν,βαλὸν,Bekker,1849,Laur. Plut. 70.8 (L),
D.C. 39.51.1,τ. πρὸ τ. ἠ.,τὰ πρὸς τῆς ἠπείρου,Bekker,1849,Laur. Plut. 70.8 (L),
D.C. 39.55.4,τοῖς τε,τοῖς τότε,F. W. Sturz,1814,Laur. Plut. 70.8 (L),p. 12
D.C. 40.64.1,τ. ἐ. αὑτ- π.,τὴν ἐσθῆτα αὐτοῦ περιρρῆξαι,Reiske,1757,Laur. Plut. 70.8 (L),p. 72
D.C. 42.22.4,καὶ ἀ.,κἂν ἀπέκτεινεν,L. Dindorf,1863,Vat. gr. 73,
D.C. 44.2.4,αὐτήν,α. τε,Reiske,1757,Laur. Plut. 70.8 (L),p. 89
D.C. 46.34.2,-αντες,δόξοντες,Reiske,1757,Laur. Plut. 70.8 (L),p. 99
D.C. 46.34.2,ἀντικεκακ-,ἀνατὶ κεκακῶσθαι,H. S. Reimarus,1750,Paris. gr. 1169,
D.C. 48.24.2,-είσης,ἐρασθεὶς,Wilhelm Xylander,1558,Turon. 980,
D.C. 48.24.5,-ου,περιορώμενος,Wilhelm Xylander,1558,Turon. 980,p. 649
D.C. 69.13.3,λαμβάνων,ἀπολ-,Reiske,1757,Vat. gr. 145 (V),p. 149
D.C. fr. 5.3,-δημ-,ἔκδηλον,Bekker,1849,Vat. gr. 73,
D.C. fr. 5.6,"δι᾿ ἃς μάχεσθε, προαποκτείνετε","δ. ἃ. μ., -ατε",Bekker,1849,Vat. gr. 73,
D.C. fr. 5.7,αὐτοῖς,αὐταὶ τοῖς,Bekker,1849,Vat. gr. 73,
D.C. fr. 5.7,ἔληγον,ἐς λόγους,F. R. C. Krebs,1832,Vat. gr. 73,
D.C. fr. 8.1,ῥᾷον,ῥᾷστα,Bekker,1849,Vat. gr. 73,ῥαιστ. cod.
D.C. fr. 9.3,-ατο … ε.,ἠμύνετο … εὐηργέτει,Étienne Gros,1845,Turon. 980,
D.C. fr. 12.10,-αι,τεκμήρασθε,Étienne Gros,1845,Vat. gr. 73,
D.C. fr. 18.2,τινα ἰσχὺν ἔχειν,τινα ἰσχύειν,Bekker,1849,Vat. gr. 73,
D.C. fr. 18.4,-μους,πολεμίους,Bekker,1849,Vat. gr. 73,
D.C. fr. 18.6,δέχ-,δέξεσθαι,Bekker,1849,Vat. gr. 73,
D.C. fr. 18.7,αἵ τε γ.,αἱ δὲ γυναῖκες,Bekker,1849,Vat. gr. 73,
D.C. fr. 18.10,τέτοκ-,ἔτεκεν,Étienne Gros,1845,Vat. gr. 73,
D.C. fr. 23.3,οἵ τέ γε,οἵ τε γὰρ,Bekker,1849,Vat. gr. 73,
D.C. fr. 23.3,προσχαρ-,προχωρῆσαι,Bekker,1849,Vat. gr. 73,
D.C. fr. 25.4,πολλὰ,πολλοὶ πολλὰ,Bekker,1849,Vat. gr. 73,
D.C. fr. 29.4,που,τοῦ,F. W. Sturz,1825,Vat. gr. 73,
D.C. fr. 36.2,τοὺς … αὐτοὺς,τ. … αὐτὰς,Bekker,1849,Vat. gr. 73,
D.C. fr. 36.3,που δόξει,σπουδάζει,Bekker,1849,Vat. gr. 73,
D.C. fr. 36.28,-ων,πάντα,Étienne Gros,1845,Vat. gr. 73,
D.C. fr. 36.29,-ῶν,αὐτὸν,Bekker,1849,Vat. gr. 73,
D.C. fr. 36.33,deest,συληθῆναι,Niebuhr,1828,Vat. gr. 73,RhM
D.C. fr. 38.2,προσ-,προορᾶται,Bekker,1849,Vat. gr. 73,
D.C. fr. 38.2,διαπεσεῖ ὅθεν,διαπεσεῖσθαι,Bekker,1849,Vat. gr. 73,
D.C. fr. 39.10,τοῦ,τὸ,Étienne Gros,1845,Vat. gr. 73,
D.C. fr. 40.13,φησι,σφίσι,F. W. Sturz,1825,Vat. gr. 73,
D.C. fr. 40.18,πάθους,παρὰ,Leonhard Tafel,1831,Vat. gr. 73,in versione
D.C. fr. 40.18,θαρσή-,φθαρήσεσθαι,Bekker,1849,Vat. gr. 73,
D.C. fr. 40.26,-οντο συνεστ-,ἐγένετο συνιστάμενοι,Bekker,1849,Vat. gr. 73,
D.C. fr. 40.31,οὐ τῶν αὐτῶν,οὐδὲν α.,Bekker,1849,Vat. gr. 73,
D.C. fr. 40.32,-οις ἐ.,τούτους ἐθεράπευεν,Étienne Gros,1845,Vat. gr. 73,
D.C. fr. 43.7,-ποίησαν,μετεποιήσαντο,Bekker,1849,Vat. gr. 73,
D.C. fr. 43.10,ἐν βίᾳ,ἂν β.,Bekker,1849,Vat. gr. 73,
D.C. fr. 43.14,ῥᾷστα αὐτὰ,ῥ. αὐτὸ,Bekker,1849,AB,
D.C. fr. 43.18,πᾶσι γὰρ,π. τὲ γ.,Bekker,1849,Vat. gr. 73,
D.C. fr. 46.2,τοῦ -οῦ,τῆς αὐτῆς,L. Dindorf,1863,Vat. gr. 73,
D.C. fr. 52.2,τότε ἐσωφρόν-,τό τε σωφρονοῦν,Bekker,1849,Paris. gr. 1169,
D.C. fr. 54.2,-ανόντως κ. πρώην,προλαμβάνων ὡς καὶ παρὸν,Bekker,1849,Vat. gr. 73,
D.C. fr. 55.4,ὅτι,ὅτε,Bekker,1849,Vat. et Paris. gr. 1169,
D.C. fr. 55.5,τ. γε π. π.,τῶν τοῦ πολέμου πραγμάτων,Bekker,1849,Vat. gr. 73,
D.C. fr. 55.8,οὐκέτι,οὐκ ἔστι,Bekker,1849,Vat. gr. 73,
D.C. fr. 55.8,εὐδοκ-,εὐδοξίαν,Bekker,1849,Vat. gr. 73,
D.C. fr. 55.10,-εῦσιν,πρέσβεσιν,Bekker,1849,Vat. gr. 73,
D.C. fr. 56.1,πάνυ δι᾿ ὀργὴν,π. δ. -ῆς,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.2,ὅ. ἀντωφ. ἐ.,ὅσον ἂν ὠφελήσεσθαί ἐλπίσωσιν,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.2,-αντας,κατορθώσοντας,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.4,ἐπειδή τοῦθ',ἐ. τε τ.,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.4,κατάρχ-,καὶ ἄρχειν,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.6a,-ᾶται,τολμᾷ,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.6b,ἐστὶν ᾿Ι.,ἐς τὴν ᾿Ιταλίαν,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.11,α. δὲ ὀ. καὶ,α. τὲ ὀ. καὶ,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.22,τ. ἄ. ἐκ μ. π.,τῶν ἄλλων τῶν ἐκ μ. προλεγομένων,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.22,π. τέ τ. ἔσται μ. ἂν α. ἀποτροπὴ μ.,π. τέ τ. ἔσται καὶ μ. ἂν α. ἀποτροπὴ μήτ᾽,Bekker,1849,Vat. gr. 73,
D.C. fr. 57.25,-κελον,ἀπερίσκεπτον,F. W. Sturz,1825,Vat. gr. 73,
D.C. fr. 58.2,-οῦσθαι,ἐκτρυχώσειν,L. Dindorf,1864,Vat. gr. 73,corrigendum
D.H. 1.6.3,-οῖς,αὐτῆς,Reiske,1774,Chis. 58 (A),
D.H. 1.6.5,-ους,φιλοθέωρος,Reiske,1774,Chis. 58 (A),
D.H. 1.48.2,-λεῖ,κύκλῳ,Reiske,1774,Urb. 105 (B),
D.H. 1.61.4,αὐτῶ,αὑτῷ,Hermann Sauppe,1861,Urb. 105 (Bb),Eph. Gott.; m. sec.
D.H. 1.62.1,βατί-,βάτειαν,Hermann Sauppe,1861,Chis. 58 (A),
D.H. 1.65.3,προειδ-,προιδομένου,Friedrich Sylburg,1586,Urb. 105 (Ba),m. pr.
D.H. 2.45.4,-ωσι,συνάξουσι,Cobet,1854,Urb. 105 (Ba),Var. lect. p. 97; m. pr.
D.H. 3.4.2,-εις,κατάμεμψις,Reiske,1774,Urb. 105 (Bb),m. sec.
D.H. 3.23.7,-ων,εὕρισκον,Reiske,1774,ABb,
D.H. Comp. 2.6,κατανοοῦντι,κατὰ γοῦν,Reiske,1775,Laur. Plut. 59.15 (F),
D.H. Comp. 6.1,τε πῶς καὶ,τε καὶ,Reiske,1775,Laur. Plut. 59.15 (F),
D.H. Comp. 9.8,πλεῖ-,πλέον,Dindorf,1860,Laur. Plut. 59.15 (F),ad Soph. fr. 754 (774 Radt)
D.H. Comp. 11.23,συμμετριάζ-,συμμετρία σώζουσα,Reiske,1775,FPM,
D.H. Comp. 18.26,-ατο,ἐπίμπρα,Reiske,1775,Laur. Plut. 59.15 (F),
D.H. Comp. 24.7,τῶν ἁπάντων,τὸν ἀπ' αὐτῶν,Reiske,1775,Laur. Plut. 59.15 (F),
D.H. Comp. 25.43,τοῖς … -οις,τοὺς … ἀπείρους,Reiske,1775,Paris. gr. 2918 (E),
D.H. Dem. 4.5,ἐγκαλλωπιζ-,ἐγκολπιζομένην,Friedrich Sylburg,1586,Ambros. D 119 sup. (A),
D.H. Dem. 5.4,κάλλιον εἰπεῖν,καλλιεπεῖν,Friedrich Sylburg,1586,AIV,
D.H. Dem. 24.11,om.,οὔτε διδαχῆς,Reiske,1777,AB,
D.H. Dem. 50.2,ἐν ἑκάστοις σ.,ἕνεκα τοῖς σώμασι,Reiske,1777,Marc. app. gr. X 34 (V),
D.H. Isoc. 9.7,αὐτοὺς,οὐ τοὺς,Reiske,1775,Laur. Plut. 59.15 (F),
D.H. Isoc. 13.2,καιν-,κενότητος,Henri Estienne,1575,TB,
D.H. Lys. 9.5,τάξ-,λέξεως,John Taylor,1766,Laur. Plut. 59.15 (F),apud Holwell; m. pr.
D.H. Rh. 9.2,ἡ -α,τὴν διδασκαλίαν,Friedrich Sylburg,1586,Guelf. 14 (G),in tomum post. p. 9
D.L. 1.22,Νείλεῳ ἐκπεσόντι Φ.,Ν. ἐκπεσὼν τῆς Φοινίκης,Casaubon,1583,Vat. gr. 96 (Φ),
D.L. 1.34,ἀστρολόγον,-ων,Reiske,1889,Palpc Plan,Herm.
D.L. 1.53,-τροπῶ,ἐπιτρέπω,Casaubon,1583,Neap. III Β 28 (D),
D.L. 1.59,ὁτὲ,ποτὲ,Henri Estienne,1570,Gnomol.Vat. 505,
D.L. 1.68,ἕκτ-,πέμπτην,Casaubon,1583,F3,
D.L. 1.81,κ. -ὸν,κατεσοβαρεύετο αὐτοῦ,Joachim Kühn,1692,Vat. gr. 96 (Φ),
D.L. 1.81,-ρικα,γαύρηκα,Gilles Ménage,1663,B2,
D.L. 1.116,ψάμμου,σάμου,Casaubon,1583,rec.,
D.L. 1.118,αὐ- δισκῆσαι,αὑτὸν δισκεῦσαι,Scaliger,1663,Vat. gr. 96 (Φ),apud Ménage
D.L. 1.118,-ίστων,βελτιόνων,Walther Kranz,1934–7,Vat. gr. 990,
D.L. 1.121,ἄρ’ οὖν τ. ἄ. ἀ.,ἆρ’ οὖν τοῦτ’ ἄρ’ ἀληθές,Gottlieb Roeper,1848,rec.,Philol.
D.L. 2.15,ἐνθάδε,ἐνθάδ’ ὁ,Casaubon,1583,Ael. VH 8.19,
D.L. 2.18,Εὐριπίδης,-δας,Cobet,1850,Laur. Plut. 69.13 (F),
